Vendor	Model	FW Ver	Notes	Buffer Read Support	Size Per Sector in Buff	Scrambled	ECC	Returns Uncorrected Data	Date Submitted	Program Version	Submitted By
ASUS	BC-12B1ST	1.01		No	No	No	No	No	2023-10-11	2023-10-01a	ehw
ASUS	BC-12D2HT			No	No	No	No	No	2023-09-30	2023-06-17	flashfire42
ASUS	BW-16D1HT	3.02		3C 03 02 F1 06	2384	Yes	Yes	No	2023-09-30	2023-06-17	Sazpaimon
ASUS	BW-16D1HT	3.10 (Rib)	3.10 - using RibShark's custom firmware. F1 and 3C were removed from anything 3.10 and above.	No	No	No	No	No	2023-10-01	2023-10-01	MrPepka
ASUS	DRW-1608P3S			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
ASUS	DRW-1814BL		(NEEDS REVISITING) Drive will return errors to the cache but because all SCSI errors return medium errors, it seems that whats stored on cache is unreliable. Sometimes the previously read sector is still there, sometimes the 2366 bytes are null, sometimes it returns the right sector but with errors. Special considerations need to be made for behavior like this.	3C 02 00	2384	Yes	Yes	Yes (NOTE)	2023-09-30	2023-06-17	Sazpaimon
ASUS	DRW-24B1ST	1.03		3C 01 01	2384	Yes	Yes	?	2024-01-29	2023-12-12a	flashfire42
ASUS	DRW-24F1ST		does not include 11 strips of 10 byte PI data in sector	3C 01 01 F1 06	2236	Yes	PO Only	Yes	2023-09-30	2023-06-17	Sazpaimon
BenQ	DH-16A1P19C		lite-on rebadge	3C 01 01	2384	Yes	Yes		2023-09-30	2023-06-17	Sazpaimon
BenQ	DW1620	B7W9		No	No	No	No	No	2023-12-10	2023-11-26	Sazpaimon
BenQ	VAD6038	0442	Xbox 360 drive? Doesn't seem to be able to read normal DVDs?	No	No	No	No	No	2023-10-08	2023-10-01a	JustAnyone
Buffalo	BU40N			No	No	No	No	No	2023-09-30	2023-06-17	Sazpaimon
e-elei	EL-R12			No	No	No	No	No	2023-09-30	2023-07-09	Dobby233Liu
Hitachi	GD-2500	A011	E7 is supported with this drive but exact params aren't known, since this is an older drive the E7 opcode for memory dumping is different from the modernish LG used for Wii/Gamecube dumping.	No	No	No	No	No	2023-12-13	2023-12-12a	Sazpaimon
HL-DT-ST	BH10LS30	1.02	Strange drive. 3C 01 11, a unique opcode param set, gives you 2064 unscrambled with EDC. 3C 02 00 gives you scrambled but the sectors in the cache appear out of order and have random sizes, probably not usable.	3C 01 11 3C 02 00 (?)	2064 (3C 01 11 - Unscrambled) ??? (3C 02 00 - Scrambled, see notes)	No/Yes	No/Yes(?)	?	2023-12-18	2023-12-12a	alisson_df
HL-DT-ST	BH16NS40	1.03		3C 01 00	2384	Yes	Yes	?	2023-10-01	2023-09-30	ScHIAuChi
HL-DT-ST	BP50NB40	1.00	Drive stalls when reading beyond 3C 0B FF, might also support F1 06.	3C 02 00 3C 03 02	2384	Yes	Yes	?	2023-12-09	2023-11-26	darksabre76
